:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	0	Group	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29	PC 30	PC 31	PC 32	PC 33	PC 34	PC 35	PC 36	PC 37	PC 38	PC 39	PC 40	PC 41	PC 42	PC 43	PC 44	PC 45	PC 46	PC 47	PC 48	PC 49	PC 50	PC 51	PC 52	PC 53	PC 54	PC 55	PC 56	PC 57	PC 58	65	
Darkorange	Dot	10	G3	-0.099862	0.03771	0.02259	0.0040239	0.0050944	-0.0011905	-0.0083427	-0.0092881	-0.0012234	-0.00029773	0.0022128	0.0003013	-0.0066206	-2.4328E-05	-0.0032422	0.0021831	-0.004258	-0.001285	-0.00070435	-0.0016067	0.00098615	0.00034545	0.00037721	0.0003451	0.00026233	0.0017865	0.0008464	0.0006359	-0.00054669	-0.00011169	0.0017119	-0.00076025	-0.00050758	-0.00053632	-0.00018579	0.00016668	-0.0002373	0.00037992	-0.00022036	0.00061612	-8.6972E-05	-0.00010254	-0.00034783	-0.0006537	6.9276E-05	-0.00018992	-0.0001576	-0.00038303	0.0005123	-0.00010734	-0.00034457	-7.7201E-05	0.00037671	0.00015414	-0.00012903	-2.3901E-05	1.2192E-05	3.3727E-05	6.0518E-05	
Darkorange	Dot	11	G3	-0.11234	0.029069	0.051181	0.015019	0.0066014	-0.0064728	-0.0041185	0.0025365	-0.0017778	0.0043753	0.0018381	-0.0051274	-0.0047524	-0.0024803	-0.0037085	0.0027624	0.00078541	0.0019855	-0.00049148	-0.00050179	-0.00016186	0.00099878	0.00052225	0.00099666	0.00030976	0.0010721	0.0009064	0.00062319	-0.00014289	0.00068886	0.00055746	0.00031387	-9.9598E-05	0.00016132	-0.00084231	0.00011894	-0.00076855	0.00021165	-0.0010536	-0.00077829	-0.00027766	0.00028267	-0.00050126	-0.00018827	0.00035129	0.00045464	0.00040476	-1.9365E-06	-2.8592E-05	-0.00019945	0.00017691	-0.0001044	-0.00017055	-0.00022739	0.00028366	-9.064E-05	-4.4212E-05	-2.4292E-05	-3.2313E-05	
Darkorange	Dot	12	G3	0.0011352	0.014347	0.0013734	-0.00066977	0.027847	-0.041885	-0.0085773	0.011156	0.0059423	0.0012057	-0.0077945	0.0035549	0.0012135	-0.0045948	0.010253	0.003856	-0.0016441	-0.00064718	0.0012395	0.00090956	-0.0015646	-0.00046736	0.0019228	-0.0012226	0.00088203	0.00036899	0.00050439	-0.0021938	0.00097583	0.0003493	-0.00022679	0.0012539	-9.023E-06	0.00019138	-4.4738E-06	-0.00040445	0.00064504	0.00014061	-0.0001813	0.00017781	0.00033548	-0.00065694	-9.3852E-05	-0.0003557	0.00039911	-9.1491E-05	-5.9862E-06	-0.00020254	-2.0844E-05	-5.2749E-05	-1.7258E-05	6.7675E-05	-3.3444E-05	3.5779E-05	8.7605E-05	6.2746E-06	-9.1052E-05	5.9452E-05	8.2746E-06	
Darkorange	Dot	13	G3	-0.0071996	0.026175	0.028896	-0.00047723	0.018268	-0.032125	-0.021845	-0.013117	0.00084868	-0.0046057	1.161E-06	-0.0015158	-0.00063245	0.0048188	-0.0025445	0.0014987	0.002314	-0.00037808	-0.0034025	-0.001502	0.0046076	0.0015719	0.0013014	0.00065839	0.00048282	-0.00071913	0.0010203	0.00087446	-1.1557E-05	0.0016807	-0.00052332	0.00099386	-1.4334E-05	0.00034568	-1.3337E-05	-0.00043534	0.00080972	-0.00026618	0.00062464	0.00037438	0.00020849	9.3876E-06	0.00013755	-0.00028551	-0.00061401	0.00011452	-6.3697E-06	0.00018238	-0.00015115	0.00014571	3.374E-05	0.00012893	-7.1245E-05	-0.00019931	-0.00012035	-7.3627E-06	6.0855E-06	-6.0254E-05	1.28E-05	
Darkorange	Dot	14	G3	-0.20969	0.0092631	-0.0068719	-0.022013	0.023882	0.0010991	0.0086908	0.0011401	0.010227	-0.0061584	0.0011144	-0.00084605	0.0025607	0.0021014	-0.0063857	0.0027706	0.0051742	-0.00024489	0.0021122	-0.00010702	5.7892E-05	-0.00079186	4.3305E-05	-0.0015559	0.0020118	-0.0015551	-7.11E-05	-0.00016591	-0.0004001	0.00075166	0.00059526	-0.00057313	0.00069723	1.7928E-05	0.000767	-0.00070917	0.00062273	0.00069795	-0.00024514	-0.0004254	9.2881E-06	0.00037152	-0.00013287	3.8912E-05	0.00060171	0.00044098	0.00018816	0.0001796	0.00015516	0.00019712	-0.00012478	0.00016378	0.00021457	0.00019525	-7.7609E-05	0.00012409	-6.9774E-05	-2.0234E-05	-5.4238E-05	
Darkorange	Dot	15	G3	-0.33423	-0.028839	-0.015091	-0.020775	0.015704	0.012127	0.0020058	0.017023	0.007103	-0.0062132	-0.0015409	0.0040068	0.0062216	-0.0045489	0.0015014	-0.0090196	0.00026761	6.0679E-05	-0.0012993	0.00086531	0.0039298	-0.00025818	-0.0010007	0.00071138	0.0021891	-0.00040205	0.0020319	-0.00020175	-0.0012405	0.0013079	0.00092213	3.2582E-05	0.00033049	-0.00027165	0.00045582	-2.0109E-05	-0.00087071	-0.00080728	0.00012975	-3.2268E-06	0.00013738	2.3456E-05	-0.00037015	-0.00028572	-3.92E-05	-0.0003193	0.00018889	-0.00019492	-4.5957E-05	-0.00017617	3.4248E-06	-0.00022272	-6.1451E-05	2.5568E-06	2.4212E-05	-2.1707E-07	2.236E-05	-2.0493E-05	3.9528E-06	
Darkorange	Dot	16	G3	-0.31143	-0.01178	-0.0033501	-0.020277	0.019168	0.020512	-0.018676	-0.0021506	-0.01651	-0.0061785	0.0030339	-0.0024889	0.0045019	-0.0022286	0.001461	0.00055295	0.0005497	-0.0030963	-0.0045119	0.00039492	-0.00039875	-0.0032948	0.00061275	-0.00080484	-0.0003808	-0.0009444	-0.001179	-0.0020265	-0.00043396	-0.0018309	0.00027866	-0.0010891	-0.0016694	0.00016948	-0.0014265	0.00017033	0.00015455	8.5664E-05	8.7955E-05	0.00014068	0.00033991	-0.00013571	-0.00036363	-4.4082E-05	1.7897E-05	0.00018147	0.00016475	0.00020845	-4.3121E-05	4.739E-05	2.4946E-05	3.8428E-05	-1.136E-05	-1.8881E-05	-8.7947E-06	3.5811E-05	2.2386E-05	-7.6237E-06	-3.1895E-05	
Darkorange	Dot	17	G3	-0.24128	0.011329	0.059561	-0.020788	-0.014915	0.028075	7.2701E-05	0.0068026	0.0080623	0.007374	0.0042826	-0.0012817	-0.0008432	0.0054024	0.0054687	-0.00041473	0.0018099	0.002619	0.00054336	-0.00087879	0.0019643	0.00086044	-0.001704	0.00031612	0.00034502	0.00023602	0.0010301	-0.0010415	0.0030458	-0.0013095	0.00070202	0.0004973	0.00014593	-0.00073308	-0.00011643	0.00083866	0.00059123	0.00072157	8.2111E-05	0.00012351	0.00033999	-3.0009E-05	-0.00024417	0.00034127	-0.00026829	-0.00026684	0.00014659	-0.00028353	0.0001206	0.00010538	0.00012641	0.0001521	-4.2368E-05	-3.8922E-05	-4.2252E-05	7.5807E-05	-2.5987E-05	-1.2044E-05	-3.3891E-05	
Darkorange	Dot	18	G3	-0.25519	-0.00020185	0.019494	-0.0055373	0.021003	0.0090368	-0.0079432	0.0081119	-0.0018842	-0.00088854	0.0039401	-0.0035527	0.003313	0.0017149	-0.0023344	-0.0013302	0.0020316	0.0060469	0.0017194	0.00027464	-0.0014018	-0.00079249	-0.0019535	0.00063697	-0.00095676	0.00047347	0.00090076	-1.4028E-05	0.0016228	-0.00020233	-0.00075987	-0.00066107	0.00059522	0.00051969	-0.00021407	-0.0013483	-0.00083555	9.1738E-05	-0.00027341	0.00095308	-0.00013923	-0.00045285	0.00052752	-0.00031582	0.00022188	0.00013785	-0.00044918	0.00030333	-0.00015632	-0.00015464	6.1294E-06	0.00016864	-2.2717E-05	3.9317E-05	2.6451E-06	-6.3929E-05	0.00011631	3.0062E-05	5.7045E-05	
Darkorange	Dot	19	G3	-0.091258	0.018767	0.047575	0.0088209	0.0085073	-0.019089	0.012809	0.016433	-0.0017794	0.0080553	-0.002375	-0.00068189	-0.0044327	-0.0044251	0.0017635	0.0017862	0.0047433	-0.0016388	-0.0017505	0.0015761	-0.0016857	0.0022054	0.0011586	-0.002	0.00036616	0.00046239	-1.7999E-05	-0.00017317	-0.00073913	-0.00094651	-0.00096334	-0.0010032	0.0010686	-0.0010446	-0.00026432	0.00024899	-0.0006098	-0.00045196	0.00061297	-0.00030654	-9.032E-05	0.00014371	-0.00038637	0.0003471	-0.00027673	8.1343E-05	-0.00015423	0.00027207	-0.00011124	-0.00020734	-0.00010804	1.8235E-05	7.6218E-05	5.3795E-05	-0.00016118	0.00012868	0.00012998	-2.8751E-05	4.8143E-05	
